Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 10,Nb Planes : 350
Resolved,Backtracks,Time
1,10,898
0,775919,30000
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 20
Resolved,Backtracks,Time
1,0,1
1,0,1
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 50
Resolved,Backtracks,Time
1,0,12
1,0,12
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 100
Resolved,Backtracks,Time
1,0,54
1,0,115
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 200
Resolved,Backtracks,Time
1,2,253
1,0,288
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 11,Nb Planes : 350
Resolved,Backtracks,Time
0,578442,30000
0,777390,30000
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 